DIAS,PRECIP,EVAP,TMAX,TMIN,HORAS LUZ
165,6,3.83,22.5,9.67,12
166,15.25,4.65,21.17,8.5,12
167,11.58,2.91,20.5,9.23,12
168,6.17,2.1,18.5,9.83,11.33
169,5.08,4.23,21.31,8.17,11.17
170,9.5,4.82,22,8.33,11
171,2.08,3.8,20.5,7.5,11
172,2.25,4.1,20.67,7.5,11
173,1.58,3.3,21.33,8.67,11
174,2.67,3.5,21.67,8.33,11
175,0.42,5.48,22.67,7.67,11
176,3.33,3.83,21.5,6.33,11
177,0.25,3,21,7.5,11
178,4.92,4.02,21.83,8.83,11
179,11.42,4.38,21.67,8.33,11
180,1.42,3.68,23,8.67,11
181,1,4.02,21.67,9.83,11
182,0,3.08,22.17,8.5,11
183,0.25,4.03,23.83,6.5,11
184,0.33,2.77,24,7,11
185,1.42,3.65,21.83,7.67,11
186,1.75,2.8,19.17,8.33,11
187,0.33,2.63,22,8.33,11
188,0.17,2.72,21.83,8,11
189,0.17,3.17,22.33,7.67,11
190,0,3.1,21.5,7.5,11
191,0,3.4,21.17,7.5,11
192,2.83,4.03,21.5,7.67,11
193,1.58,3.92,21.33,7.83,11
194,2.08,3.88,21.67,6.17,11
195,0.42,3.47,22.5,6.5,11
196,0.83,3.57,22.17,7.17,11
197,1.42,3.08,20.83,7.33,11
198,0,2.47,21.5,7.33,11
199,4.92,2.62,21.67,7.33,11
200,0.17,4.23,20.9,7.17,11
201,3.2,3.36,22.33,6.67,11
202,5.58,3.87,20.33,7.33,11
203,0.08,2.7,20.83,6.83,11
204,0,3.15,21.5,5.33,11
205,1.5,3.7,22.17,6.17,11
206,0,3.28,22.83,5.33,11
207,0,4.07,24,6.5,11
208,0,3.63,23.33,6.33,11
209,0.08,3.02,22,6.17,11
210,7.33,3.82,22.33,6,11
211,1.33,3.27,22.67,6.83,11
212,0.02,3.6,22,5.83,11
213,4.92,3.65,21,5.17,11
214,1.83,2.62,21.5,5.5,11
215,0,3.59,22,6.17,11
