DIAS,PRECIP,EVAP,TMAX,TMIN,HORAS LUZ,HI
102,17.58,4.13,22.17,8.5,13,48
103,1,4.45,21.67,8.17,13,48
104,2.88,4.3,22.33,8.5,13,48
105,3.17,5.35,22.83,7.67,13,48
106,7,6.83,22.33,6.83,13,48
107,0.67,6.65,23.33,8.5,13,48
108,0.17,4.23,23.5,8.33,12.33,48
109,2.53,4.91,23.67,7.9,12,48
110,4.75,4.58,22.83,8.5,12,48
111,6.92,4.97,22.5,8.83,12,48
112,7.17,4.1,23.67,8.5,12,48
113,9.08,5.92,22.67,9.83,12,48
114,8.75,4.45,21.5,10,12,48
115,2.67,5.28,22.17,10,12,48
116,2.95,5.18,23,9.5,12,48
117,9.33,4.92,21.17,9,12,48
118,8.25,4.68,21.17,10,12,48
119,4.83,4.02,22.33,8.83,12,48
120,5.58,3.82,21.83,7.67,12,48
121,1.67,4.3,23.5,8,12,48
122,3.92,4.43,23.5,8.17,12,48
123,3.7,4.82,23.17,8.33,12,48
124,0,3.93,21.17,8.17,12,48
125,5.5,4.73,21.83,9,12,48
126,9.17,5.3,23.33,8.5,12,48
127,2.63,4.6,23.17,9,12,48
128,7.6,5.83,21.33,9.33,12,48
129,2.25,3.37,21,8.67,12,48
130,1,3.95,21.33,9.17,12,48
131,3.27,3.98,21.83,9.67,12,48
132,0.5,4.42,21.17,9.17,12,48
133,0.58,3.48,22.17,9.33,12,48
134,2.42,6.25,23.17,9.5,12,48
135,3.78,3.05,23,9.5,12,48
136,10.5,4.02,22.5,9.67,12,48
137,3.83,4.97,22.67,9.33,12,48
138,9.25,3.94,21.83,9.33,12,48
139,4.25,4.42,22.83,8.67,12,48
140,9.58,5.02,23.17,7.83,12,48
141,6.37,4.38,22.67,9.33,12,48
142,8.67,4.16,22.24,9.83,12,48
143,21.17,7.57,21.33,9.83,12,48
144,4.13,4.47,22.67,9.67,12,48
145,6,3.82,20.83,9.23,12,48
146,5.75,5.77,20.83,9.33,12,48
147,4.17,4.28,21.67,8.33,12,48
148,1.25,3.9,22.83,8.33,12,48
149,1.33,3.6,22.33,9.67,12,48
150,0.13,2.78,21.5,9,12,48
151,5,3.77,21.57,9.17,12,48
152,6.5,3.44,19.67,9.07,12,48
153,1,3.13,20.33,8.83,12,48
154,11.92,3.6,22.17,9,12,48
155,1,3.46,20.9,10.17,12,48
156,8.5,3.81,23.33,9.73,12,48
157,2.33,3.89,21.97,9.33,12,48
158,3,3.98,23.5,8.5,12,48
159,2.92,4.01,23,8.13,12,48
160,2.08,4.12,23.33,8.67,12,48
161,2.33,4.2,23,9.17,12,48
162,9.03,4.25,22,7.83,12,48
163,9.47,3.99,23.07,8,12,48
164,8.5,3.62,22.33,9.33,12,48
165,6,3.83,22.5,9.67,12,48
166,15.25,4.65,21.17,8.5,12,48
167,11.58,2.91,20.5,9.23,12,48
168,6.17,2.1,18.5,9.83,11.33,48
169,5.08,4.23,21.31,8.17,11.17,48
170,9.5,4.82,22,8.33,11,48
171,2.08,3.8,20.5,7.5,11,48
172,2.25,4.1,20.67,7.5,11,48
173,1.58,3.3,21.33,8.67,11,48
174,2.67,3.5,21.67,8.33,11,48
175,0.42,5.48,22.67,7.67,11,48
176,3.33,3.83,21.5,6.33,11,48
177,0.25,3,21,7.5,11,48
178,4.92,4.02,21.83,8.83,11,48
179,11.42,4.38,21.67,8.33,11,48
180,1.42,3.68,23,8.67,11,48
181,1,4.02,21.67,9.83,11,48
182,0,3.08,22.17,8.5,11,48
183,0.25,4.03,23.83,6.5,11,48
184,0.33,2.77,24,7,11,48
185,1.42,3.65,21.83,7.67,11,48
186,1.75,2.8,19.17,8.33,11,48
187,0.33,2.63,22,8.33,11,48
188,0.17,2.72,21.83,8,11,48
189,0.17,3.17,22.33,7.67,11,48
190,0,3.1,21.5,7.5,11,48
191,0,3.4,21.17,7.5,11,48
192,2.83,4.03,21.5,7.67,11,48
193,1.58,3.92,21.33,7.83,11,48
194,2.08,3.88,21.67,6.17,11,48
195,0.42,3.47,22.5,6.5,11,48
196,0.83,3.57,22.17,7.17,11,48
197,1.42,3.08,20.83,7.33,11,48
198,0,2.47,21.5,7.33,11,48
199,4.92,2.62,21.67,7.33,11,48
200,0.17,4.23,20.9,7.17,11,48
201,3.2,3.36,22.33,6.67,11,48
202,5.58,3.87,20.33,7.33,11,48
203,0.08,2.7,20.83,6.83,11,48
204,0,3.15,21.5,5.33,11,48
205,1.5,3.7,22.17,6.17,11,48
206,0,3.28,22.83,5.33,11,48
207,0,4.07,24,6.5,11,48
208,0,3.63,23.33,6.33,11,48
209,0.08,3.02,22,6.17,11,48
210,7.33,3.82,22.33,6,11,48
211,1.33,3.27,22.67,6.83,11,48
212,0.02,3.6,22,5.83,11,48
213,4.92,3.65,21,5.17,11,48
214,1.83,2.62,21.5,5.5,11,48
215,0,3.59,22,6.17,11,48
